Object,A,B,C,Shape,Roll,Pitch,Yaw
tool stand,13.5,5.85,3.6,-1,0.5,0,1
jar,11.25,5.5,5.5,-0.5,0.5,0,1
medium drum-like part,10.8,10.8,3.8,0.5,0.5,0,1
laundry detergent bottle,13.75,5.2,5.2,1,0.5,0,1
remote,15,6,2.5,-1,0.5,0,1
round handle,12,12,2.4,-0.5,0.5,0,1
bottle,18,5.6,4.2,1,0.5,0,1
hammer,22.5,6.3,3,1,0.5,0,1
,,,,,,,
,,,,,,,
tool stand,15,6.5,4,-1,0,0,0
jar,12.5,11,11,-0.5,0,0,0
medium drum-like part,13.5,13.5,9.5,0.5,0,0,0
laundry detergent bottle,12.5,6.5,6.5,1,0,0,0
remote,15,6,2.5,-1,0,0,0
round handle,10,10,2,-0.5,0,0,0
bottle,18,8,6,1,0,0,0
hammer,15,4.2,2,1,0,0,0
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
spray bottle,15,6,3.5,-1,0,0,0
remote,15,6,2.5,-1,0,0,0
spray bottle cap,7.5,4.5,3,-1,0,0,0
sponge,10,6,2.5,-1,0,0,0
ruler,15,2.25,0.25,-1,0,0,0
cards,8,5,0.15,-1,0,0,0
razor,11,1.5,1,-1,0,0,0
belt,15,3.5,0.35,-1,0,0,0
jewelry box,15,5,3,-1,0,0,0
knife holder,14,8,4,-1,0,0,0
cell phone,10,5.5,1,-1,0,0,0
phone,9.5,5.25,1.75,-1,0,0,0
wrench,15,2,0.75,-1,0,0,0
pliers,10.5,5.5,0.75,-1,0,0,0
calipers,15,2.5,0.7,-1,0,0,0
saw,10,4,2.5,-1,0,0,0
telephone,12,4.25,2.75,-1,0,0,0
thin parallel,15,3.5,0.4,-1,0,0,0
tissue box,10,4,1.6,-1,0,0,0
tool stand,15,6.5,4,-1,0,0,0
rolling rack,15,8.5,2.5,-1,0,0,0
plexiglas rectangle,15,4.5,1,-1,0,0,0
mouse,10,5.5,3.5,-1,0,0,0
rug,15,15,1,-0.5,0,0,0
chair,15,15,2,-0.5,0,0,0
paper,15,15,0.2,-0.5,0,0,0
trash can,15,15,1,-0.5,0,0,0
wardrobe door,15,15,3,-0.5,0,0,0
placemat,15,15,0.4,-0.5,0,0,0
magazines,15,15,1.5,-0.5,0,0,0
small tray,12,10,4,-0.5,0,0,0
bowl,12.5,12.5,1,-0.5,0,0,0
coaster,9,9,0.6,-0.5,0,0,0
jar,12.5,11,1,-0.5,0,0,0
plastic mat,15,15,1,-0.5,0,0,0
symbol,4,4,1,-0.5,0,0,0
brochure,15,15,0.35,-0.5,0,0,0
tape roll,6,5,2,-0.5,0,0,0
newspapers,15,15,1.5,-0.5,0,0,0
dishwasher rack,15,15,0.75,-0.5,0,0,0
food container lid,15,15,0.75,-0.5,0,0,0
game,15,14.5,1.25,-0.5,0,0,0
thin bottle,15,11,4.5,-0.5,0,0,0
calculator,15,12,1,-0.5,0,0,0
sandpaper,8,5.5,0.15,-0.5,0,0,0
medium part,8,8,3.5,-0.5,0,0,0
top of box,15,12.5,4,-0.5,0,0,0
disk,4.5,4.5,0.6,-0.5,0,0,0
plastic machine cover,15,15,0.75,-0.5,0,0,0
plastic shield,15,15,0.75,-0.5,0,0,0
round handle,10,10,2,-0.5,0,0,0
metal slab,15,15,1.5,-0.5,0,0,0
medium drum-like part,13.5,13.5,9.5,0.5,0,0,0
left hand,8,8,8,0.5,0,0,0
metal scraps,0.5,0.5,0.5,0.5,0,0,0
vacuum,15,4.5,4.5,1,0,0,0
mop,15,3.5,3.5,1,0,0,0
aerosol can,15,6,6,1,0,0,0
pen,14.5,0.9,0.9,1,0,0,0
paper towel roll,15,9,9,1,0,0,0
hair brush,12.5,2,1.5,1,0,0,0
bottle,15,8,6,1,0,0,0
toothbrush,15,1,1,1,0,0,0
power cord,15,0.9,0.9,1,0,0,0
laundry detergent bottle,12.5,6.5,6.5,1,0,0,0
cup,15,7,7,1,0,0,0
bucket,15,1,1,1,0,0,0
toothbrush holder,9,4,3,1,0,0,0
hose,15,2.25,2.25,1,0,0,0
dish washing brush,15,1.5,1.5,1,0,0,0
flashlight,15,2,2,1,0,0,0
eating utensil,15,1,0.75,1,0,0,0
cabinet handle,9,0.75,0.75,1,0,0,0
rod,15,1.25,1.25,1,0,0,0
tool with t-shaped handle,9,1,1,1,0,0,0
small plastic squeeze bottle,12.5,4,4,1,0,0,0
cylindrical part on machine,12.5,5.5,5.5,1,0,0,0
electric tool,15,6.5,6.5,1,0,0,0
tube,15,1,1,1,0,0,0
drill bit,6.5,0.75,0.75,1,0,0,0
chuck key,10,1,1,1,0,0,0
micrometer,11.5,1.75,1.75,1,0,0,0
rod-like handle,15,1.25,1.25,1,0,0,0
writing utensil,14.5,1,1,1,0,0,0
screwdriver,15,3.5,3.5,1,0,0,0
hammer,15,2,2,1,0,0,0
thin rod,11.5,0.65,0.65,1,0,0,0
oil bottle,10,3.5,3.5,1,0,0,0
end mill,11.5,0.75,0.75,1,0,0,0
hex wrench,10,0.65,0.65,1,0,0,0
tap with t-shaped handle,15,2,2,1,0,0,0
