Object,A,B,C,Shape,Roll,Pitch,Yaw,
plexiglas rectangle,15,5.4,2,-1,0.5,0,1,poPdAb24
book,15,10.5,2.75,-0.5,0.5,0,1,poPdAb24
medium drum-like part,10.8,10.8,2.85,0.5,0.5,0,1,poPdAb24
cylindrical part on machine,22.5,4.4,4.4,1,0.5,0,1,poPdAb24
tool stand,12,5.2,2.6,-1,0.5,0,1,poPdAb24
metal slab,15,9,1.5,-0.5,0.5,0,1,poPdAb24
small drum-like part,10.5,4.25,4.25,0.5,0.5,0,1,poPdAb24
screwdriver,18,3.5,3.5,1,0.5,0,1,poPdAb24
,,,,,,,,
,,,,,,,,
plexiglas rectangle,15,4.5,1,-1,0,0,0,
book,15,15,2.75,-0.5,0,0,0,
medium drum-like part,13.5,13.5,9.5,0.5,0,0,0,
cylindrical part on machine,12.5,5.5,5.5,1,0,0,0,
tool stand,15,6.5,4,-1,0,0,0,
metal slab,15,15,1.5,-0.5,0,0,0,
small drum-like part,10.5,8.5,8.5,0.5,0,0,0,
screwdriver,18,3.5,3.5,1,0,0,0,
,,,,,,,,
,,,,,,,,
spray bottle,15,6,3.5,-1,0,0,0,
sponge,10,6,2.5,-1,0,0,0,
ruler,15,2.25,0.25,-1,0,0,0,
tissue holder,11,4,2,-1,0,0,0,
cell phone,10,5.5,1,-1,0,0,0,
shower brush,9,4,2.5,-1,0,0,0,
ceramic fish,13.5,5.5,1.5,-1,0,0,0,
saw,10,4,2.5,-1,0,0,0,
thin parallel,15,3.5,0.4,-1,0,0,0,
tool stand,15,6.5,4,-1,0,0,0,
plexiglas rectangle,15,4.5,1,-1,0,0,0,
rug,15,15,1,-0.5,0,0,0,
pillow,15,15,6.5,-0.5,0,0,0,
chair,15,15,2,-0.5,0,0,0,
bar stool,15,15,3,-0.5,0,0,0,
paper,15,15,0.2,-0.5,0,0,0,
stack of paper,15,15,2,-0.5,0,0,0,
trash can,15,15,1,-0.5,0,0,0,
book,15,15,2.75,-0.5,0,0,0,
magazines,15,15,1.5,-0.5,0,0,0,
bowl,12.5,12.5,1,-0.5,0,0,0,
soap dish,10,7.5,2.5,-0.5,0,0,0,
bathroom scale,15,15,4.5,-0.5,0,0,0,
computer,15,15,3.5,-0.5,0,0,0,
dishwasher door,15,15,5.5,-0.5,0,0,0,
plate,15,15,1,-0.5,0,0,0,
food container lid,15,15,0.75,-0.5,0,0,0,
tray,15,15,1,-0.5,0,0,0,
table,15,15,4,-0.5,0,0,0,
game,15,14.5,1.25,-0.5,0,0,0,
exercise equipment,15,15,5,-0.5,0,0,0,
dish,11,11,1,-0.5,0,0,0,
sandpaper,8,5.5,0.15,-0.5,0,0,0,
plastic shield,15,15,0.75,-0.5,0,0,0,
metal slab,15,15,1.5,-0.5,0,0,0,
plastic top,6.5,6.5,6.5,0.5,0,0,0,
bread box,15,15,15,0.5,0,0,0,
medium knob,3.5,3.5,3.5,0.5,0,0,0,
medium drum-like part,13.5,13.5,9.5,0.5,0,0,0,
small drum-like part,10.5,8.5,8.5,0.5,0,0,0,
mop,15,3.5,3.5,1,0,0,0,
cord,15,0.75,0.75,1,0,0,0,
aerosol can,15,6,6,1,0,0,0,
ironing board,15,3.5,3.5,1,0,0,0,
cup,15,7,7,1,0,0,0,
bucket,15,1,1,1,0,0,0,
small knob,4.5,2.5,2.5,1,0,0,0,
cylindrical part on machine,12.5,5.5,5.5,1,0,0,0,
micrometer,11.5,1.75,1.75,1,0,0,0,
screwdriver,15,3.5,3.5,1,0,0,0,
end mill,11.5,0.75,0.75,1,0,0,0,
large knob,4,2.5,2.5,1,0,0,0,
screw,1.5,0.75,0.75,1,0,0,0,
