Object,A,B,C,Shape,Roll,Pitch,Yaw,
remote,15,6,2.5,-1,0.5,0,1,poPmAb25
game,15,11.6,1.25,-0.5,0.5,0,1,poPmAb25
stuffed animal,16.1,8.05,6.3,0.5,0.5,0,1,poPmAb25
aerosol can,17.6,4.8,4.8,1,0.5,0,1,poPmAb25
cell phone,15,8.25,1.5,-1,0.5,0,1,poPmAb25
metal rectangle,13.75,8.5,2,-0.5,0.5,0,1,poPmAb25
small drum-like part,10.5,4.25,4.25,0.5,0.5,0,1,poPmAb25
bottle,18,5.6,4.2,1,0.5,0,1,poPmAb25
,,,,,,,,
remote,15,6,2.5,-1,0,0,0,
game,15,14.5,1.25,-0.5,0,0,0,
stuffed animal,11.5,11.5,9,0.5,0,0,0,
aerosol can,22,6,6,1,0,0,0,
cell phone,10,5.5,1,-1,0,0,0,
metal rectangle,12.5,8.5,1,-0.5,0,0,0,
small drum-like part,10.5,8.5,8.5,0.5,0,0,0,
bottle,18,8,6,1,0,0,0,
,,,,,,,,
spray bottle,15,6,3.5,-1,0,0,0,
remote,15,6,2.5,-1,0,0,0,
sponge,10,6,2.5,-1,0,0,0,
ruler,15,2.25,0.25,-1,0,0,0,
glasses,10.5,3,0.75,-1,0,0,0,
belt,15,3.5,0.35,-1,0,0,0,
iron,15,6.5,3.5,-1,0,0,0,
soap,8,5,2.5,-1,0,0,0,
cell phone,10,5.5,1,-1,0,0,0,
duster,15,2.5,1.5,-1,0,0,0,
phone,9.5,5.25,1.75,-1,0,0,0,
cooking spoon dish,12.5,2.5,1,-1,0,0,0,
dish washing soap bottle,15,10,4.5,-1,0,0,0,
measuring cup,9.5,2.5,1.5,-1,0,0,0,
wrench,15,2,0.75,-1,0,0,0,
pliers,10.5,5.5,0.75,-1,0,0,0,
calipers,15,2.5,0.7,-1,0,0,0,
saw,10,4,2.5,-1,0,0,0,
air hose,15,3.25,1.75,-1,0,0,0,
thin parallel,15,3.5,0.4,-1,0,0,0,
rolling rack,15,8.5,2.5,-1,0,0,0,
plexiglas rectangle,15,4.5,1,-1,0,0,0,
aluminum bar,11.5,3,2,-1,0,0,0,
rug,15,15,1,-0.5,0,0,0,
