r,l,t,s,i
324307.412857,301,5.805796,1,6
333303.578098,316,11.318628,0,6
1168412.323769,557,20.457487,1,6
483950.434773,314,26.369009,1,6
471695.439738,326,32.751338,1,6
469955.628422,273,38.512761,1,6
1005407.312798,494,46.918025,1,6
496785.431895,336,52.87127,1,6
366377.101408,306,58.791548,1,6
465435.879494,302,64.435836,1,6
214322.772705,310,70.467599,1,6
875.810448,181,75.808318,0,6
217252.265677,397,82.364116,1,6
2251710.689574,1025,94.719645,0,6
592484.181205,338,100.886401,1,6
571.593185,149,105.967592,0,6
9586.248545,1025,117.650863,0,6
187687.788936,1025,129.280185,0,6
557871.009158,276,134.956756,1,6
444174.609553,407,141.911285,1,6
216363.686299,328,148.195595,1,6
300236.328375,264,153.66068,1,6
490149.762006,305,159.287889,1,6
746795.305079,389,166.533526,1,6
739417.381921,392,172.996213,1,6
967638.691914,494,180.61219,1,6
896507.579125,415,187.608449,1,6
714262.244173,591,196.094375,1,6
728798.370154,323,202.711308,1,6
1886.895069,335,209.802976,0,6
822.57652,184,215.607187,0,6
40842.677428,827,228.962577,0,6
1098618.555318,470,237.109796,1,6
859268.894199,499,244.125626,0,6
382810.961879,291,249.999045,1,6
493264.169729,386,257.185592,1,6
640534.93994,424,264.555021,1,6
1127869.963249,573,273.906709,1,6
306264.288645,282,280.007345,1,6
303666.521741,334,286.52001,1,6
569991.424432,316,292.833011,1,6
450884.881496,445,300.566276,1,6
14817.283223,374,308.34051,0,6
595619.915684,325,314.71743,1,6
1023637.15853,679,324.845617,1,6
668508.827642,338,330.898003,1,6
743388.89558,398,337.589976,1,6
540031.081814,318,343.522678,1,6
495650.981291,303,349.622051,1,6
2408942.166969,991,362.477321,1,6
