Object,A,B,C,GraspedDimension,Rigidity,Roundness,Mass,Shape,Type,Task,Force,Constraint,Class,Duration,OppType,PIP,Grasp,Grasp_group,Task_group,Power palm add 3-5,Power palm abd 2-5,Power palm add 2-5,Power pad abd 2,Power pad abd 2-3,Power pad abd 2-4,Intermediate abd 2,Intermediate add 2,Intermediate add 3,Precision pad abd 2,Precision pad abd 2-3,Precision pad abd 2-4,Precision pad abd 2-5,Precision pad add 2-5,Precision side abd 3,platform
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,picking up,weight,uuu,hold,2.0,Pad,Precision,quadpod,Precision pad abd 2-4,picking up,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,picking up,weight,uuu,hold,19.0,Palm,Power,index finger extension,Power palm add 3-5,picking up,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding,weight,uuu,hold,9.0,Palm,Power,medium wrap,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding,weight,uuu,hold,25.0,Palm,Power,medium wrap,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding,weight,uuu,hold,16.0,Palm,Power,medium wrap,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding,weight,uuu,hold,15.0,Palm,Power,medium wrap,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding cleaning supplies,weight,uuu,hold,2.0,Palm,Power,large diameter,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding cleaning supplies,weight,uuu,hold,8.0,Pad,Power,ring,Power pad abd 2,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding cleaning supplies,weight,uuu,hold,2.0,Pad,Precision,thumb-4 finger,Precision pad abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
spray bottle,15.0,6.0,3.5,b/c,squeezable,non-round,400.0,bladed,irregular,holding cleaning supplies,weight,uuu,hold,2.0,Palm,Power,medium wrap,Power palm abd 2-5,holding,0,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0
